year,value,low,high
1985,1.0,1.0,1.0
1986,1.32003861895818,1.02326996287405,1.90321138802009
1987,1.53284660026896,1.15966857997308,2.16387774915186
1988,1.36627423253826,0.85030180245239,2.13430716957241
1989,1.24308427848559,0.754162459976089,1.99793373757526
1990,1.30755725434185,0.791592509085322,2.15172475026394
1991,1.23216151440255,0.74732031179453,2.01017653399101
1992,1.22978596308139,0.742544962845443,1.9859296885237
1993,1.21263956574375,0.735409165707652,1.96285630167563
1994,1.19814791714036,0.723729127380547,1.95419470688947
1995,1.20222674314639,0.717657107889506,1.96987419007379
1996,1.08605969799135,0.572815502144975,1.88524420872081
1997,1.27791099616026,0.648259259857439,2.40809641226742
1998,1.35995510773275,0.682410983383659,2.56279943411479
1999,1.27012381850331,0.636932785205835,2.40239885254344
2000,1.13849911013097,0.565079482136268,2.10665039401137
2001,0.985510849511733,0.484267967200799,1.87163042917957
2002,0.967553965218534,0.459203784591583,1.89772610417801
2003,0.870868365424767,0.402301029974294,1.75905777123874
2004,0.821025513219765,0.383868686474815,1.65082553625093
2005,0.784965831854987,0.363261387980967,1.59307920743637
2006,0.812647288005765,0.378699532584774,1.69326859769995
2007,0.801916273905487,0.374463289728688,1.64936329445278
2008,0.761029521456812,0.35075842102509,1.58806924792937
2009,0.77398579533585,0.359092508200021,1.66244403664706
2010,0.84552281365317,0.390304119748984,1.82901511960234
2011,0.908117902419568,0.40566481345595,1.93793538911192
2012,0.88739900378481,0.401714017802781,1.94855137078961
2013,0.841500672535534,0.376271574059025,1.90037280644172
2014,0.770978001436842,0.350813985707764,1.74809439964344
2015,0.793681121386135,0.35120465553144,1.8023287789172
2016,0.761816807407258,0.329473858013589,1.70373555658048
2017,0.74606745963063,0.320207233142666,1.7185299978275
2018,0.678860286870003,0.283466352456217,1.59995070879592
2019,0.648906377754153,0.259837752316793,1.53667383813984
2020,0.635449819320396,0.257108223308144,1.49112103511983
2021,0.655073546576145,0.264373005253673,1.5553049500564
2022,0.763640119383911,0.292937765135772,1.81771406063491
