year,value,low,high
1985,1.0,1.0,1.0
1986,0.962272323711558,0.902331649006089,1.02897726904656
1987,0.914151944797825,0.841996900344493,1.00699247316971
1988,0.87191698250198,0.786279855658653,0.965363127022881
1989,0.844838071345883,0.748473557773663,0.954881344469178
1990,0.818600143269723,0.713360505437663,0.94182440777857
1991,0.817305194180507,0.693295967205002,0.956263185290029
1992,0.845559523186765,0.701241955293741,1.01870796337408
1993,0.86387255218108,0.697787090508024,1.03855424102105
1994,0.900865906284162,0.726526672923374,1.08791051815359
1995,0.924650977175951,0.740674835968004,1.13294960620855
1996,0.841677879921052,0.634337796017904,1.06703180001169
1997,0.842073544280908,0.629183764915268,1.0836265479617
1998,0.904878678257146,0.675943815724627,1.19072192813639
1999,0.845234268398091,0.618239736353413,1.13074680095785
2000,0.820420772821609,0.594228718951714,1.10994350987321
2001,0.72199277319586,0.512333836550207,1.00493127788721
2002,0.671605029846236,0.471430262833785,0.937634687771318
2003,0.684473743685704,0.481009120273798,0.961560720207293
2004,0.643102334254604,0.4471715457622,0.929357076985807
2005,0.637330022445567,0.43308637349841,0.928884093068491
2006,0.57572895594409,0.386495846434294,0.846363294389476
2007,0.543182063132237,0.363083479871209,0.813302656934278
2008,0.507558729245592,0.340594632370471,0.751032578242194
2009,0.482034359639494,0.322656578019717,0.712780061344184
2010,0.455860319385928,0.306392338277993,0.678426331772199
2011,0.413772271589548,0.276893664646396,0.61814241918264
2012,0.379513919648703,0.24565314881084,0.570341562680825
2013,0.367829897943729,0.237212197138091,0.55903889735796
2014,0.333787322317043,0.21549356771484,0.510945828345867
2015,0.315563594881304,0.203551146888277,0.488227873017227
2016,0.287890253145139,0.18574847146839,0.441688031245806
2017,0.247845964339318,0.162004476896555,0.387212895016832
2018,0.24704959355909,0.15763664761767,0.385930513826305
2019,0.242003276787675,0.151608544384642,0.385145331818293
2020,0.250472253221431,0.151332933094467,0.414582788698817
2021,0.269346370484122,0.158535638932395,0.461476164004012
2022,0.284685217724659,0.162437408499822,0.4914703923466
