year,value,low,high
1985,1.0,1.0,1.0
1986,0.96314107410047,0.920403386731542,1.01269603796322
1987,1.03348561842139,0.958975100823526,1.11242316893762
1988,1.04794916169582,0.941694836009895,1.1641349062818
1989,1.09059474529975,0.963753809136967,1.2282299281546
1990,1.05639598616155,0.928215085996822,1.2104376782775
1991,1.02929078870214,0.898622860813387,1.18242527227709
1992,1.04133082445066,0.905015008816586,1.20208946976732
1993,1.00143604395998,0.870084187284693,1.16674076881341
1994,0.992363236852931,0.853687758479107,1.15649103644757
1995,0.9830095968564,0.845395460714594,1.15052092806967
1996,0.951918351673396,0.817165393912675,1.11499425654114
1997,0.938841826528367,0.801890316248824,1.109768865258
1998,0.947066276018888,0.801888591222813,1.12839541163358
1999,0.902577972440719,0.747772240011365,1.08381909677895
2000,0.855370881515349,0.699755516773256,1.02642830291943
2001,0.816164124873665,0.666595073883758,0.986318225968162
2002,0.743259623834805,0.607111137435891,0.911711475853141
2003,0.709448747008832,0.58052417762996,0.871563764061887
2004,0.681026984297184,0.55663761083268,0.83772416469273
2005,0.673291265100211,0.548610463189999,0.828844484394189
2006,0.616185953031454,0.477053909636615,0.781883735361838
2007,0.609643783531956,0.473494907301637,0.767189169245698
2008,0.597586320467731,0.451313870009724,0.758036292444242
2009,0.589834251811032,0.449082880126444,0.760223446483003
2010,0.568445145580188,0.428278831793564,0.742056892873112
2011,0.549049832465293,0.410406849063448,0.72123012967818
2012,0.528023306494607,0.39408114063571,0.698494889445478
2013,0.487377335217987,0.360516064039078,0.649481380826705
2014,0.464754044777461,0.338408035871078,0.619920115539693
2015,0.458298387173579,0.333391309614539,0.621719707014096
2016,0.463454747465383,0.331274872390536,0.637241576938603
2017,0.438212521452054,0.316627678958589,0.611058398043118
2018,0.446667966925396,0.318088323902154,0.614397151443847
2019,0.426811281050886,0.299055899798435,0.588859462667352
2020,0.431333307515927,0.297372234398781,0.602915401149183
2021,0.435995523022389,0.302580574139571,0.614808702781271
2022,0.454943783682537,0.308810117982898,0.664211246874663
